classifier_name,dataset_name,accuracy
MLP10-average,cricket_y,0.6051282051282051
MLP10-average,distal_phalanax_tw,0.6618705035971223
MLP10-average,egg_five_days,1.0
MLP10-average,face_ucr,0.8185365853658536
MLP10-average,fifty_words,0.7098901098901099
MLP10-average,mote_strain,0.95
MLP10-average,power_cons,0.9944444444444445
MLP10-average,sony_robot,0.95
MLP10-average,synthetic_control,0.9466666666666667
MLP10-average_with_confidence,cricket_y,0.6025641025641025
MLP10-average_with_confidence,distal_phalanax_tw,0.6618705035971223
MLP10-average_with_confidence,egg_five_days,1.0
MLP10-average_with_confidence,face_ucr,0.8141463414634146
MLP10-average_with_confidence,fifty_words,0.6857142857142857
MLP10-average_with_confidence,mote_strain,0.95
MLP10-average_with_confidence,power_cons,0.9944444444444445
MLP10-average_with_confidence,sony_robot,0.95
MLP10-average_with_confidence,synthetic_control,0.95
MLP10-logistic_average,cricket_y,0.6051282051282051
MLP10-logistic_average,distal_phalanax_tw,0.6618705035971223
MLP10-logistic_average,egg_five_days,1.0
MLP10-logistic_average,face_ucr,0.8185365853658536
MLP10-logistic_average,fifty_words,0.7098901098901099
MLP10-logistic_average,mote_strain,0.95
MLP10-logistic_average,power_cons,0.9944444444444445
MLP10-logistic_average,sony_robot,0.95
MLP10-logistic_average,synthetic_control,0.9466666666666667
MLP10-logistic_average_with_confidence,cricket_y,0.6051282051282051
MLP10-logistic_average_with_confidence,distal_phalanax_tw,0.6618705035971223
MLP10-logistic_average_with_confidence,egg_five_days,1.0
MLP10-logistic_average_with_confidence,face_ucr,0.8185365853658536
MLP10-logistic_average_with_confidence,fifty_words,0.7098901098901099
MLP10-logistic_average_with_confidence,mote_strain,0.95
MLP10-logistic_average_with_confidence,power_cons,0.9944444444444445
MLP10-logistic_average_with_confidence,sony_robot,0.95
MLP10-logistic_average_with_confidence,synthetic_control,0.9466666666666667
MLP10-majority_vote,cricket_y,0.6076923076923076
MLP10-majority_vote,distal_phalanax_tw,0.6690647482014388
MLP10-majority_vote,egg_five_days,1.0
MLP10-majority_vote,face_ucr,0.8190243902439024
MLP10-majority_vote,fifty_words,0.7054945054945055
MLP10-majority_vote,mote_strain,0.95
MLP10-majority_vote,power_cons,0.9944444444444445
MLP10-majority_vote,sony_robot,0.95
MLP10-majority_vote,synthetic_control,0.9433333333333334
