classifier_name,dataset_name,accuracy
All-average,cricket_y,0.7410256410256411
All-average,distal_phalanax_tw,0.6762589928057554
All-average,egg_five_days,1.0
All-average,face_ucr,0.9385365853658536
All-average,fifty_words,0.7714285714285715
All-average,mote_strain,0.95
All-average,power_cons,0.9944444444444445
All-average,sony_robot,0.95
All-average,synthetic_control,0.98
All-average_with_confidence,cricket_y,0.735897435897436
All-average_with_confidence,distal_phalanax_tw,0.6762589928057554
All-average_with_confidence,egg_five_days,1.0
All-average_with_confidence,face_ucr,0.9292682926829269
All-average_with_confidence,fifty_words,0.7164835164835165
All-average_with_confidence,mote_strain,0.95
All-average_with_confidence,power_cons,0.9944444444444445
All-average_with_confidence,sony_robot,0.95
All-average_with_confidence,synthetic_control,0.9733333333333334
All-logistic_average,cricket_y,0.7410256410256411
All-logistic_average,distal_phalanax_tw,0.6690647482014388
All-logistic_average,egg_five_days,1.0
All-logistic_average,face_ucr,0.9380487804878048
All-logistic_average,fifty_words,0.7714285714285715
All-logistic_average,mote_strain,0.95
All-logistic_average,power_cons,0.9944444444444445
All-logistic_average,sony_robot,0.95
All-logistic_average,synthetic_control,0.98
All-logistic_average_with_confidence,cricket_y,0.7410256410256411
All-logistic_average_with_confidence,distal_phalanax_tw,0.6762589928057554
All-logistic_average_with_confidence,egg_five_days,1.0
All-logistic_average_with_confidence,face_ucr,0.9390243902439024
All-logistic_average_with_confidence,fifty_words,0.7736263736263737
All-logistic_average_with_confidence,mote_strain,0.95
All-logistic_average_with_confidence,power_cons,0.9944444444444445
All-logistic_average_with_confidence,sony_robot,0.95
All-logistic_average_with_confidence,synthetic_control,0.98
All-majority_vote,cricket_y,0.7307692307692307
All-majority_vote,distal_phalanax_tw,0.697841726618705
All-majority_vote,egg_five_days,1.0
All-majority_vote,face_ucr,0.9341463414634147
All-majority_vote,fifty_words,0.7538461538461538
All-majority_vote,mote_strain,0.95
All-majority_vote,power_cons,0.9888888888888889
All-majority_vote,sony_robot,0.95
All-majority_vote,synthetic_control,0.9833333333333333
